"Time","End Time","Day","Name","Location","Address","Region","Sub Region","Types","Notes","Location Notes","Timezone","Group","District","Sub District","Website","Website 2","Mailing Address","Venmo","Email","Phone","Group Notes","Contact 1 Name","Contact 1 Email","Contact 1 Phone","Contact 2 Name","Contact 2 Email","Contact 2 Phone","Contact 3 Name","Contact 3 Email","Contact 3 Phone","Last Contact","Conference URL","Conference Phone","Author","Slug","Updated"
"6:00 PM",,"Monday","After Work Topic Meeting","Saturday Nite Live","2634 Union Ave, San Jose, CA 95124, USA","San Jose","West San Jose","Open, Wheelchair Access",,,"America/Los_Angeles","Saturday Nite Live",,,"https://saturdaynitelive.org",,"2634 Union Ave, San Jose, CA 95124, USA","@sample-venmo",,"(800) 555-1212",,,,,,,,,,,,,,,"after-work-topic-meeting","2020-04-0416:50:58"
"6:45 PM",,"Monday","Life on Life's Terms","New Creation Lutheran Church","7275 Santa Teresa Blvd, San Jose, CA 95139, USA","San Jose","South San Jose","Open",,,"America/Los_Angeles",,,,,,,,,,,,,,,,,,,,,,,,"life-on-lifes-terms","2016-09-1005:15:00"
"7:30 PM",,"Monday","The Shared Gift","St. Timothy's Lutheran Church","5151 Carter Ave, San Jose, CA 95118, USA","San Jose","South San Jose","Closed, Women",,,"America/Los_Angeles",,,,,,,,,,,,,,,,,,,,,,,,"the-shared-gift","2016-09-1005:15:00"
"8:00 PM",,"Monday","Something Better","2212 Quimby Road","2212 Quimby Rd, San Jose, CA 95122, USA","San Jose","East San Jose","Open",,,"America/Los_Angeles",,,,,,,,,,,,,,,,,,,,,,,,"something-better","2016-09-1005:15:00"
"8:00 PM",,"Monday","Monday Night Survivors","7511 Gourmet Alley","7511 Gourmet Alley, Gilroy, CA 95020, USA","Gilroy",,"Open, Wheelchair Access",,,"America/Los_Angeles",,,,,,,,,,,,,,,,,,,,,,,,"monday-night-survivors","2014-05-3107:32:00"
"8:00 PM",,"Monday","Sobriety Society","Freedom Fellowship: Foothill Covenant Church","1555 Oak Ave, Los Altos, CA 94024, USA","Los Altos",,"Open, Wheelchair Access",,,"America/Los_Angeles",,,,,,,,,,,,,,,,,,,,,,,,"sobriety-society","2015-07-2714:10:00"
"8:00 PM",,"Monday","Entire Abstinence","Taiwanese American Presbyterian Church","3675 Payne Ave, San Jose, CA 95117, USA","San Jose","West San Jose","Open",,,"America/Los_Angeles",,,,,,,,,,,,,,,,,,,,,,,,"entire-abstinence","2016-09-1005:16:00"
"6:30 AM",,"Tuesday","Faith at Work","7511 Gourmet Alley","7511 Gourmet Alley, Gilroy, CA 95020, USA","Gilroy",,"Open, Wheelchair Access",,,"America/Los_Angeles",,,,,,,,,,,,,,,,,,,,,,,,"faith-at-work","2014-05-3107:32:00"
"7:00 AM",,"Tuesday","Up the Creek - Daily Reflections","Freedom Fellowship: Foothill Covenant Church","1555 Oak Ave, Los Altos, CA 94024, USA","Los Altos",,"Open, Wheelchair Access",,,"America/Los_Angeles",,,,,,,,,,,,,,,,,,,,,,,,"up-the-creek-daily-reflections","2015-05-3004:10:00"
"12:00 PM",,"Tuesday","Open AA","Alano Club West","1555 S 7th St, San Jose, CA 95112, USA","San Jose","Downtown","Open",,,"America/Los_Angeles",,,,,,,,,,,,,,,,,,,,,,,,"open-aa","2017-02-0900:48:00"
"6:00 PM",,"Tuesday","Men's Spiritual Growth Meeting (Speaker)","7511 Gourmet Alley","7511 Gourmet Alley, Gilroy, CA 95020, USA","Gilroy",,"Closed, Men, Wheelchair Access",,,"America/Los_Angeles",,,,,,,,,,,,,,,,,,,,,,,,"mens-spiritual-growth-meeting-speaker","2014-09-0504:05:00"
"8:00 PM",,"Tuesday","Step Study","7511 Gourmet Alley","7511 Gourmet Alley, Gilroy, CA 95020, USA","Gilroy",,"Closed, Wheelchair Access",,,"America/Los_Angeles",,,,,,,,,,,,,,,,,,,,,,,,"step-study","2014-05-3107:32:00"
"8:00 PM",,"Tuesday","Caring & Sharing","Almaden Hills United Methodist Church","1200 Blossom Hill Rd, San Jose, CA 95118, USA","San Jose","South San Jose","Open, Wheelchair Access",,,"America/Los_Angeles",,,,,,,,,,,,,,,,,,,,,,,,"caring-sharing","2016-09-1005:15:00"
"12:00 PM",,"Wednesday","Joy of Living","Public Defender's Office","231 Grant Ave, Palo Alto, CA 94306, USA","Palo Alto",,"Open, Wheelchair Access",,,"America/Los_Angeles",,,,,,,,,,,,,,,,,,,,,,,,"joy-of-living","2015-05-2700:50:00"
"6:00 PM",,"Wednesday","Progressive Sobriety","Serenity First Fellowship","304 N 6th St, San Jose, CA 95112, USA","San Jose","Downtown","Open",,,"America/Los_Angeles",,,,,,,,,,,,,,,,,,,,,,,,"progressive-sobriety","2016-09-1005:15:00"
"8:15 PM",,"Wednesday","The Other Wednesday Nite","Denny's Restaurant","1390 S 1st St, San Jose, CA 95110, USA","San Jose","Downtown","Closed, Men, Wheelchair Access",,,"America/Los_Angeles",,,,,,,,,,,,,,,,,,,,,,,,"the-other-wednesday-nite","2014-05-3107:32:00"
"11:30 AM",,"Thursday","Third Tradition","First Christian Church","80 S 5th St, San Jose, CA 95112, USA","San Jose","Downtown","Open, Wheelchair Access",,,"America/Los_Angeles",,,,,,,,,,,,,,,,,,,,,,,,"third-tradition","2016-09-1005:15:00"
"6:00 PM",,"Thursday","Keep It Simple","Cornerstone Fellowship Group","1600 Dell Ave, Campbell, CA 95008, USA","Campbell",,"Open",,,"America/Los_Angeles",,,,,,,,,,,,,,,,,,,,,,,,"keep-it-simple","2014-05-3107:32:00"
"9:00 AM",,"Friday","Cup of Coffee Group","Alano Club of San Jose","1122 Fair Ave, San Jose, CA 95122, USA","San Jose","East San Jose","Open",,,"America/Los_Angeles",,,,,,,,,,,,,,,,,,,,,,,,"cup-of-coffee-group","2016-09-1005:15:00"
"6:00 PM",,"Friday","Better Late Than Never","South County Fellowship","17666 Crest Ave, Morgan Hill, CA 95037, USA","Morgan Hill",,"Birthday, Open, Wheelchair Access",,,"America/Los_Angeles",,,,,,,,,,,,,,,,,,,,,,,,"better-late-than-never","2014-05-3107:32:00"
